date,Worst,Neutral,Recovery,HotVeryHot,total_universe,avg_sco,avg_3m,Other,Worst_pct,Neutral_pct,Recovery_pct,HotVeryHot_pct,Other_pct,cell_<0__<0%,cell_<0__0~15%,cell_<0__15~30%,cell_<0__30%+,cell_0~7__<0%,cell_0~7__0~15%,cell_0~7__15~30%,cell_0~7__30%+,cell_8~10__<0%,cell_8~10__0~15%,cell_8~10__15~30%,cell_8~10__30%+,cell_11+__<0%,cell_11+__0~15%,cell_11+__15~30%,cell_11+__30%+,QQQ_close,SPY_close,sco_strong,sco_mid,sco_weak,sco_neg,regime_raw_avg,regime_map_score,strong_zone_cnt,risk_zone_cnt,worst_zone_cnt,regime_state
2026-05-20,50,17,8,6,138,1.37,2.09,57,36.23,12.32,5.8,4.35,41.3,,,,,,,,,,,,,,,,,701.53,,7.0,27.0,40.0,64.0,4.2899,21.9,12.0,78.0,50.0,약세 확산
2026-05-21,49,21,9,6,138,0.68,2.69,53,35.51,15.22,6.52,4.35,38.41,,,,,,,,,,,,,,,,,713.15,,7.0,24.0,42.0,65.0,4.2826,21.9,10.0,76.0,49.0,약세 확산
2026-05-23,38,17,4,7,138,2.68,5.38,72,27.54,12.32,2.9,5.07,52.17,,,,,,,,,,,,,,,,,717.54,,20.0,22.0,47.0,49.0,5.087,27.2,13.0,70.0,38.0,약세 경계
2026-05-24,38,17,4,7,138,2.68,5.38,72,27.54,12.32,2.9,5.07,52.17,,,,,,,,,,,,,,,,,717.54,,20.0,22.0,47.0,49.0,5.087,27.2,13.0,70.0,38.0,약세 경계
2026-05-25,38,17,4,7,138,2.68,5.38,72,27.54,12.32,2.9,5.07,52.17,,,,,,,,,,,,,,,,,717.54,,20.0,22.0,47.0,49.0,5.087,27.2,13.0,70.0,38.0,약세 경계
2026-05-27,36,15,2,13,138,4.9,6.77,72,26.09,10.87,1.45,9.42,52.17,,,,,,,,,,,,,,,,,730.28,,43.0,21.0,32.0,42.0,6.3478,35.7,19.0,54.0,36.0,약세 경계
2026-05-28,30,14,1,13,138,6.36,6.06,80,21.74,10.14,0.72,9.42,57.97,,,,,,,,,,,,,,,,,729.45,,64.0,6.0,30.0,38.0,6.9638,39.8,20.0,52.0,30.0,약세 경계
2026-05-29,21,12,1,15,138,7.57,8.9,89,15.22,8.7,0.72,10.87,64.49,,,,,,,,,,,,,,,,,735.6,,67.0,11.0,31.0,29.0,7.5652,43.8,27.0,46.0,21.0,중립/선별
2026-05-30,23,11,1,15,138,7.5,8.78,88,16.67,7.97,0.72,10.87,63.77,,,,,,,,,,,,,,,,,738.31,,66.0,14.0,27.0,31.0,7.6159,44.1,27.0,45.0,23.0,중립/선별
2026-05-31,23,11,1,15,138,7.5,8.78,88,16.67,7.97,0.72,10.87,63.77,,,,,,,,,,,,,,,,,738.31,,66.0,14.0,27.0,31.0,7.6159,44.1,27.0,45.0,23.0,중립/선별
2026-06-03,25,15,2,16,138,6.18,10.36,80,18.12,10.87,1.45,11.59,57.97,,,,,,,,,,,,,,,,,746.16,,60.0,11.0,27.0,40.0,7.2971,42.0,28.0,49.0,25.0,중립/선별
2026-06-04,25,12,1,14,138,5.97,9.56,86,18.12,8.7,0.72,10.14,62.32,,,,,,,,,,,,,,,,,744.21,,56.0,16.0,26.0,40.0,7.1304,40.9,27.0,52.0,25.0,중립/선별
2026-06-06,32,25,0,12,137,3.7,7.38,68,23.36,18.25,0.0,8.76,49.64,,,,,,,,,,,,,,,,,705.06,,27.0,32.0,33.0,45.0,6.1971,34.6,19.0,52.0,32.0,약세 경계
2026-06-07,26,26,0,12,137,4.11,7.53,73,18.98,18.98,0.0,8.76,53.28,,,,,,,,,,,,,,,,,705.06,,27.0,33.0,38.0,39.0,6.3431,35.6,19.0,50.0,26.0,약세 경계
2026-06-08,34,22,1,10,137,3.54,4.49,70,24.82,16.06,0.73,7.3,51.09,,,,,,,,,,,,,,,,,705.06,,18.0,39.0,39.0,41.0,5.7956,32.0,16.0,56.0,34.0,약세 경계
2026-06-09,30,31,11,4,137,0.76,8.36,61,21.9,22.63,8.03,2.92,44.53,,,,,,,,,,,,,,,,,716.07,,6.0,20.0,56.0,55.0,4.8613,25.7,9.0,61.0,30.0,약세 경계
2026-06-10,23,20,7,1,85,-0.94,7.23,34,27.06,23.53,8.24,1.18,40.0,,,,,,,,,,,,,,,,,707.83,,1.0,7.0,35.0,42.0,4.1412,20.9,2.0,43.0,23.0,약세 확산
2026-06-11,38,25,5,0,137,-1.96,5.64,69,27.74,18.25,3.65,0.0,50.36,,,,,,,,,,,,,,,,,693.69,,5.0,2.0,41.0,89.0,3.4088,16.1,0.0,90.0,38.0,약세 확산
2026-06-12,26,31,11,0,137,0.28,9.31,69,18.98,22.63,8.03,0.0,50.36,,,,,,,,,,,,,,,,,717.12,,9.0,8.0,56.0,64.0,4.5401,23.6,3.0,65.0,26.0,약세 확산
2026-06-13,26,31,11,0,137,0.54,9.83,69,18.98,22.63,8.03,0.0,50.36,,,,,,,,,,,,,,,,,721.34,,10.0,9.0,57.0,61.0,4.6934,24.6,4.0,63.0,26.0,약세 확산
2026-06-14,26,31,11,0,137,0.54,9.83,69,18.98,22.63,8.03,0.0,50.36,,,,,,,,,,,,,,,,,721.34,,10.0,9.0,57.0,61.0,4.6934,24.6,4.0,63.0,26.0,약세 확산
2026-06-15,25,33,10,4,137,1.0,10.69,65,18.25,24.09,7.3,2.92,47.45,,,,,,,,,,,,,,,,,721.34,,10.0,13.0,57.0,57.0,4.9708,26.5,8.0,60.0,25.0,약세 경계
